,bldCode,doorIndex,bldCodeDoorIndex,ProjNumber,aprtmentSize,yearsInBldg,age,lowDiscount,highDiscount,noDiscount,income,rent,own,agentID,prjectType,tic,status,Floors,MainCost,cityTax,CostForStaying,ratioCostForStaying,reason_leave,mortgage,rentPrice,bld_status
78,210_19_a,39,210_19_a_39,20180988,82,0,30,0,0,1,18336.63157894737,0,1,3cb414e4-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6889.26,0.3757102262942169,,6124,,Building after
79,210_19_a,40,210_19_a_40,20180988,82,0,39,0,0,1,20530.1052631579,1,0,3cb41502-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.3168644250292253,,0,,Building after
80,210_19_a,41,210_19_a_41,20180988,82,0,21,0,0,1,19684.68421052632,0,1,3cb41520-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6840.26,0.3474914774778147,,6075,,Building after
81,210_19_a,1,210_19_a_1,20180988,82,0,22,0,0,1,19653.84210526316,0,1,3cb3fcca-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6826.26,0.3473244551085499,,6061,,Building after
82,210_19_a,2,210_19_a_2,20180988,82,0,38,0,0,1,20997.94736842105,0,1,3cb3ff04-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6823.26,0.3249489047801665,,6058,,Building after
83,210_19_a,4,210_19_a_4,20180988,82,0,72,0,0,1,19253.42105263158,0,1,3cb3ff68-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6857.26,0.3561580033623553,,6092,,Building after
84,210_19_a,5,210_19_a_5,20180988,82,0,36,0,0,1,21655.31578947368,0,1,3cb3ff9a-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6822.26,0.315038582966137,,6057,,Building after
85,210_19_a,6,210_19_a_6,20180988,82,0,62,0,0,1,20506.57894736842,0,1,3cb3ffcc-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6824.26,0.3327839332691691,,6059,,Building after
86,210_19_a,7,210_19_a_7,20180988,82,0,35,0,0,1,19060.73684210526,0,1,3cb3fffe-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6886.26,0.3612798422770424,,6121,,Building after
87,210_19_a,11,210_19_a_11,20180988,82,0,50,0,0,1,21014.1052631579,1,0,3cb40030-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.309566356432271,,0,,Building after
88,210_19_a,12,210_19_a_12,20180988,82,0,61,0,0,1,19773.84210526316,0,1,3cb40062-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6864.26,0.3471384045376268,,6099,,Building after
89,210_19_a,15,210_19_a_15,20180988,82,0,30,0,0,1,18411.78947368421,0,1,3cb40094-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6837.26,0.371352280003659,,6072,,Building after
90,210_19_a,18,210_19_a_18,20180988,82,0,51,0,0,1,17777.1052631579,1,0,3cb400bc-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.3659347179251846,,0,,Building after
91,210_19_a,19,210_19_a_19,20180988,82,0,42,0,0,1,21736.1052631579,1,0,3cb41110-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.2992836076767735,,0,,Building after
92,210_19_a,20,210_19_a_20,20180988,82,0,54,0,0,1,18604.1052631579,1,0,3cb411a6-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.3496679849948228,,0,,Building after
93,210_14,1,210_14_1,20100133,70,18,67,0,0,1,13083.0,0,1,2a6d0872-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
94,210_14,2,210_14_2,20100133,70,22,98,0,1,0,5938.0,0,1,2a6d08a4-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
95,210_14,3,210_14_3,20100133,70,45,25,0,1,0,6382.0,0,1,2a6d08d6-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
96,210_14,4,210_14_4,20100133,70,8,52,0,0,1,12268.0,1,0,2a6d0908-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
97,210_14,5,210_14_5,20100133,70,43,27,0,0,1,13977.0,1,0,2a6d093a-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
98,210_14,6,210_14_6,20100133,70,4,83,0,1,0,6281.0,1,0,2a6d0962-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
99,210_14,7,210_14_7,20100133,70,51,41,0,1,0,5677.0,1,0,2a6d0994-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
100,210_14,8,210_14_8,20100133,70,24,25,1,0,0,6845.0,1,0,2a6d09bc-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
101,210_14,9,210_14_9,20100133,70,50,90,1,0,0,8927.0,0,1,2a6d09ee-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
102,210_14,10,210_14_10,20100133,70,5,47,0,0,1,11152.0,0,1,2a6d0a16-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
103,210_14,11,210_14_11,20100133,70,36,36,1,0,0,8079.0,0,1,2a6d0a48-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
104,210_14,12,210_14_12,20100133,70,8,42,1,0,0,7904.0,1,0,2a6d0a7a-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
105,210_14,13,210_14_13,20100133,70,22,89,0,1,0,5572.0,0,1,2a6d0aac-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
106,210_14,14,210_14_14,20100133,70,18,70,0,1,0,6053.0,0,1,2a6d0ad4-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
107,210_14,15,210_14_15,20100133,70,6,43,0,1,0,5053.0,0,1,2a6d0afc-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
108,210_14,16,210_14_16,20100133,70,30,36,0,1,0,5896.0,0,1,2a6d0b24-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
109,210_14_a,1,210_14_a_1,20100133,82,18,69,0,0,1,13083.0,0,1,2a6d0872-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.0584927004509669,Age,0,0.0,Construction
110,210_14_a,2,210_14_a_2,20100133,82,22,100,0,1,0,5938.0,0,1,2a6d08a4-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.1288750421017177,Age,0,0.0,Construction
111,210_14_a,3,210_14_a_3,20100133,82,45,27,0,1,0,6382.0,0,1,2a6d08d6-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.1199091193983077,Burden,0,0.0,Construction
112,210_14_a,4,210_14_a_4,20100133,82,8,54,0,0,1,12268.0,1,0,2a6d0908-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.062378545810238,Rent,0,0.0,Construction
113,210_14_a,5,210_14_a_5,20100133,82,43,29,0,0,1,13977.0,1,0,2a6d093a-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.0547513772626457,Rent,0,0.0,Construction
114,210_14_a,6,210_14_a_6,20100133,82,4,85,0,1,0,6281.0,1,0,2a6d0962-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.1218372870562012,Age,0,0.0,Construction
115,210_14_a,7,210_14_a_7,20100133,82,51,43,0,1,0,5677.0,1,0,2a6d0994-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.1348000704597499,Rent,0,0.0,Construction
116,210_14_a,8,210_14_a_8,20100133,82,24,27,1,0,0,6845.0,1,0,2a6d09bc-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.1117983929875822,Rent,0,0.0,Construction
117,210_14_a,9,210_14_a_9,20100133,82,50,92,1,0,0,8927.0,0,1,2a6d09ee-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.085724207460513,Age,0,0.0,Construction
118,210_14_a,10,210_14_a_10,20100133,82,5,49,0,0,1,11152.0,0,1,2a6d0a16-9b6a-11eb-ab03-acde48001122,1,2,stay,6.0,320.0,445.26,765.26,0.06862087517934,,0,0.0,Construction
119,210_14_a,11,210_14_a_11,20100133,82,36,38,1,0,0,8079.0,0,1,2a6d0a48-9b6a-11eb-ab03-acde48001122,1,2,Leave,6.0,320.0,445.26,765.26,0.0947221190741428,Burden,0,0.0,Construction
